f,A
32,-37.498
320,-41.564
321,-39.924
322,-38.59
323,-39.015
324,-41.35
325,-40.169
326,-38.681
327,-38.977
328,-41.146
329,-40.461
33,-37.255
330,-38.817
331,-38.989
332,-40.972
333,-40.737
334,-38.971
335,-38.997
336,-40.819
337,-41.059
338,-39.123
339,-38.998
34,-38.796
340,-40.682
341,-41.369
342,-39.234
343,-38.971
344,-40.486
345,-41.651
346,-39.335
347,-38.925
348,-40.27
349,-41.872
35,-39.8
350,-39.421
351,-38.861
352,-40.057
353,-42.146
354,-39.511
355,-38.812
356,-39.887
357,-42.447
358,-39.616
359,-38.801
36,-37.547
360,-39.737
361,-42.666
362,-39.793
363,-38.84
364,-39.635
365,-42.432
366,-40.026
367,-38.928
368,-39.591
369,-42.199
37,-37.17
370,-40.293
371,-39.048
372,-39.58
373,-41.989
374,-40.551
375,-39.17
376,-39.548
377,-41.785
378,-40.815
379,-39.253
38,-38.567
380,-39.486
381,-41.574
382,-41.032
383,-39.304
384,-39.386
385,-41.297
386,-41.181
387,-39.33
388,-39.28
389,-41.007
39,-40.04
390,-41.372
391,-39.379
392,-39.178
393,-40.764
394,-41.681
395,-39.489
396,-39.177
397,-40.68
398,-42.014
399,-39.807
4,-37.118
40,-37.638
400,-39.305
401,-40.782
402,-42.675
403,-40.244
404,-39.783
405,-41.106
406,-43.491
407,-41.037
408,-40.499
409,-41.727
41,-37.13
410,-44.744
411,-42.145
412,-41.589
413,-42.808
414,-46.004
415,-43.71
416,-43.104
417,-44.288
418,-47.482
419,-45.73
42,-38.396
420,-45.105
421,-46.274
422,-49.422
423,-48.307
424,-47.668
425,-48.842
426,-51.955
427,-51.476
428,-50.882
429,-52.108
43,-40.353
430,-55.224
431,-55.417
432,-54.885
433,-56.187
434,-59.41
435,-60.307
436,-59.875
437,-61.342
438,-64.725
439,-66.455
44,-37.772
440,-66.245
441,-68.006
442,-71.726
443,-74.463
444,-74.8
445,-77.235
446,-81.786
447,-86.342
448,-88.331
449,-93.494
45,-37.139
450,-103.95
451,-118.13
452,-103.41
453,-99.962
454,-100.88
455,-103.97
456,-103.67
457,-107.49
458,-119.92
459,-117.72
46,-38.264
460,-107.51
461,-103.12
462,-102.41
463,-103.96
464,-100.88
465,-100.26
466,-101.7
467,-105.99
468,-105.64
469,-108.11
47,-40.697
470,-115.68
471,-125.32
472,-112.88
473,-106.34
474,-104.35
475,-104.97
476,-102.26
477,-100.23
478,-100.39
479,-102.78
48,-37.956
480,-102.22
481,-101.53
482,-103.33
483,-107.69
484,-110.06
485,-114.83
486,-117.22
487,-115.96
488,-110.6
489,-105.23
49,-37.188
490,-103.27
491,-103.78
492,-102.78
493,-100.39
494,-100.15
495,-101.74
496,-102.96
497,-101.34
498,-102.15
499,-105.07
5,-37.854
50,-38.171
500,-108.63
501,-109.75
502,-115.55
503,-120.06
504,-117.61
505,-109.62
506,-105.77
507,-104.92
508,-105.56
509,-101.85
51,-41.094
510,-100.82
511,-101.5
512,-104.25
513,-101.58
514,-101.28
515,-103.28
516,-107.51
517,-106.82
518,-108.57
519,-114.11
52,-38.164
520,-121.48
521,-118.51
522,-110.51
523,-107.5
524,-107.8
525,-104.17
526,-101.79
527,-101.54
528,-103.33
529,-101.85
53,-37.253
530,-100.45
531,-100.99
532,-103.92
533,-104.05
534,-103.9
535,-105.93
536,-110.82
537,-115.08
538,-116.61
539,-119.72
54,-38.096
540,-113.16
541,-109.3
542,-105.04
543,-103.17
544,-103.64
545,-103.33
546,-100.66
547,-100.29
548,-101.83
549,-103
55,-40.925
550,-101.36
551,-101.76
552,-104.14
553,-107.1
554,-106.72
555,-110.2
556,-117.22
557,-122.28
558,-114.43
559,-109.98
56,-38.378
560,-107.7
561,-107.89
562,-103.67
563,-101.65
564,-101.86
565,-104.26
566,-101.11
567,-100.21
568,-101.36
569,-104.61
57,-37.317
570,-102.95
571,-103.01
572,-105.5
573,-110.59
574,-111.45
575,-117.17
576,-118.17
577,-119.26
578,-111.35
579,-106.92
58,-38.01
580,-105.19
581,-105.9
582,-103.67
583,-101.49
584,-101.39
585,-103.34
586,-102.69
587,-101.27
588,-102.16
589,-104.95
59,-40.649
590,-105.98
591,-105.84
592,-108.59
593,-114.38
594,-116.86
595,-115.93
596,-113.82
597,-111.09
598,-108.9
599,-104.83
6,-40.573
60,-38.571
600,-103.03
601,-103.85
602,-104.06
603,-101.54
604,-100.9
605,-102.53
606,-104.34
607,-102.59
608,-102.77
609,-105.41
61,-37.358
610,-109.58
611,-109.47
612,-112.62
613,-117.15
614,-117.37
615,-114.44
616,-109.13
617,-107.44
618,-108.5
619,-104.11
62,-37.904
620,-102.24
621,-102.34
622,-104.94
623,-102.08
624,-101.09
625,-102.15
626,-105.39
627,-104.15
628,-104.32
629,-106.58
63,-40.36
630,-111.68
631,-113.54
632,-116.49
633,-112.04
634,-117.04
635,-111.8
636,-106.92
637,-105.19
638,-105.92
639,-104.33
64,-38.744
640,-102.03
641,-101.77
642,-103.37
643,-103.45
644,-101.86
645,-102.38
646,-105.33
647,-106.61
648,-106.43
649,-108.82
65,-37.375
650,-114.38
651,-119.22
652,-120.17
653,-114.8
654,-111.68
655,-110.12
656,-105.43
657,-103.4
658,-103.92
659,-104.82
66,-37.773
660,-101.9
661,-101.12
662,-102.4
663,-104.72
664,-102.56
665,-102.71
666,-104.86
667,-108.85
668,-108.22
669,-110.75
67,-40.044
670,-116.83
671,-115.36
672,-113.93
673,-111.2
674,-108.86
675,-109.1
676,-105.29
677,-102.89
678,-102.69
679,-104.7
68,-38.901
680,-102.58
681,-101.19
682,-101.85
683,-104.63
684,-103.88
685,-103.43
686,-105.12
687,-109.24
688,-110.74
689,-113.69
69,-37.375
690,-117.31
691,-116.59
692,-115.32
693,-110.06
694,-107.39
695,-107.15
696,-105.94
697,-103
698,-102.23
699,-103.61
7,-38.335
70,-37.63
700,-103.86
701,-101.9
702,-102.06
703,-104.05
704,-105.93
705,-104.85
706,-106.42
707,-110.04
708,-115.57
709,-113.27
71,-39.74
710,-117.83
711,-116.65
712,-114.82
713,-108.55
714,-105.92
715,-105.5
716,-107.09
717,-103.31
718,-101.88
719,-102.67
72,-39.054
720,-105.72
721,-103.08
722,-102.42
723,-104.07
724,-107.93
725,-106.88
726,-107.85
727,-111.84
728,-115.43
729,-112.65
73,-37.378
730,-114.12
731,-111.18
732,-111.82
733,-108.11
734,-105.05
735,-104.26
736,-105.58
737,-103.91
738,-102.08
739,-102.27
74,-37.498
740,-104.52
741,-104.27
742,-103.24
743,-104.26
744,-107.58
745,-109.28
746,-110.11
747,-114.42
748,-116.26
749,-116.15
75,-39.445
750,-114.62
751,-110.41
752,-109.16
753,-108.13
754,-104.49
755,-103.16
756,-104.17
757,-104.9
758,-102.52
759,-102.17
76,-39.234
760,-103.68
761,-105.91
762,-104.49
763,-104.93
764,-107.91
765,-112.32
766,-113.1
767,-115.71
768,-113.23
769,-113.88
77,-37.41
770,-112.27
771,-107.86
772,-106.61
773,-108.3
774,-104.25
775,-102.54
776,-102.8
777,-105.3
778,-102.95
779,-102.03
78,-37.399
780,-102.98
781,-106.33
782,-105.18
783,-105.46
784,-107.6
785,-112.73
786,-115.3
787,-114.11
788,-116.32
789,-117.18
79,-39.198
790,-111.7
791,-107.48
792,-105.76
793,-106.56
794,-105.17
795,-102.56
796,-102.29
797,-104.62
798,-104.85
799,-102.32
8,-37.177
80,-39.457
800,-102.98
801,-106.77
802,-107.34
803,-107
804,-109.09
805,-114
806,-115.33
807,-118.36
808,-114.53
809,-113.15
81,-37.485
810,-111.36
811,-107.05
812,-104.94
813,-105.21
814,-106.06
815,-103.1
816,-102.16
