abs(H),F
1.0687,9.89e+05
1.0749,9.9e+05
1.0806,9.91e+05
1.0858,9.92e+05
1.0903,9.93e+05
1.0941,9.94e+05
1.0974,9.95e+05
1.0999,9.96e+05
1.1017,9.97e+05
1.1028,9.98e+05
1.1031,9.99e+05
