abs(H),F
0.0006509,9.12e+05
0.00061062,9.13e+05
0.00056794,9.14e+05
0.00052301,9.15e+05
0.00047603,9.16e+05
0.00042717,9.17e+05
0.00037663,9.18e+05
0.00032461,9.19e+05
0.00027131,9.2e+05
0.00021694,9.21e+05
0.00016172,9.22e+05
0.00010586,9.23e+05
4.9587e-05,9.24e+05
6.878e-06,9.25e+05
6.3315e-05,9.26e+05
0.0001195,9.27e+05
0.00017521,9.28e+05
0.00023023,9.29e+05
0.00028435,9.3e+05
0.00033734,9.31e+05
0.000389,9.32e+05
0.00043912,9.33e+05
0.00048752,9.34e+05
0.000534,9.35e+05
0.00057837,9.36e+05
0.00062046,9.37e+05
0.00066011,9.38e+05
0.00069716,9.39e+05
0.00073146,9.4e+05
0.00076289,9.41e+05
0.00079131,9.42e+05
0.00081661,9.43e+05
0.0008387,9.44e+05
0.00085749,9.45e+05
0.0008729,9.46e+05
0.00088488,9.47e+05
0.00089337,9.48e+05
0.00089835,9.49e+05
0.0008998,9.5e+05
0.0008977,9.51e+05
0.00089207,9.52e+05
0.00088294,9.53e+05
0.00087033,9.54e+05
0.00085429,9.55e+05
0.0008349,9.56e+05
0.00081222,9.57e+05
0.00078634,9.58e+05
0.00075738,9.59e+05
0.00072543,9.6e+05
0.00069063,9.61e+05
0.00065312,9.62e+05
0.00061304,9.63e+05
0.00057055,9.64e+05
0.00052581,9.65e+05
0.00047901,9.66e+05
0.00043032,9.67e+05
0.00037995,9.68e+05
0.00032808,9.69e+05
0.00027492,9.7e+05
0.00022068,9.71e+05
0.00016557,9.72e+05
0.00010981,9.73e+05
5.3625e-05,9.74e+05
2.7736e-06,9.75e+05
5.9161e-05,9.76e+05
0.00011531,9.77e+05
0.00017101,9.78e+05
0.00022604,9.79e+05
0.00028018,9.8e+05
0.00033322,9.81e+05
0.00038494,9.82e+05
0.00043515,9.83e+05
0.00048365,9.84e+05
0.00053025,9.85e+05
0.00057477,9.86e+05
0.00061702,9.87e+05
0.00065685,9.88e+05
0.0006941,9.89e+05
0.00072862,9.9e+05
0.00076027,9.91e+05
0.00078894,9.92e+05
0.0008145,9.93e+05
0.00083686,9.94e+05
0.00085593,9.95e+05
0.00087164,9.96e+05
0.00088392,9.97e+05
0.00089273,9.98e+05
0.00089803,9.99e+05
