f,xrms,xmean,xsnr
1481,0.018043,-0.018037,18.325
1482,0.01807,-0.018063,18.034
1483,0.018091,-0.018084,18.55
1484,0.018093,-0.018085,18.84
1485,0.01803,-0.018023,19.453
1486,0.018094,-0.018087,18.056
1487,0.018116,-0.01811,17.72
1488,0.018152,-0.018147,16.754
1489,0.018098,-0.018094,15.175
149,0.61688,-0.018139,79.754
1490,0.018101,-0.018099,13.232
1491,0.018084,-0.018083,9.4191
1492,0.01809,-0.01809,3.1157
1493,0.018124,-0.018124,-1.1428
1494,0.018075,-0.018075,2.8936
1495,0.018063,-0.018062,10.239
1496,0.018064,-0.018062,12.932
1497,0.018068,-0.018065,15.668
1498,0.018067,-0.018062,17.152
1499,0.018034,-0.018027,18.14
15,0.61189,-0.017667,77.327
150,0.6167,-0.017993,79.776
1500,0.018046,-0.018038,19.064
1501,0.018076,-0.018067,19.284
1502,0.018006,-0.017996,20.341
1503,0.018082,-0.018072,19.719
1504,0.018064,-0.018055,19.443
1505,0.018094,-0.018085,19.351
1506,0.018095,-0.018088,18.832
1507,0.018058,-0.018052,17.602
1508,0.018022,-0.018017,16.534
1509,0.018105,-0.018102,14.666
151,0.61656,-0.018046,80.128
1510,0.018114,-0.018112,12.053
1511,0.018073,-0.018072,8.0133
1512,0.018079,-0.018079,-0.54879
1513,0.01809,-0.01809,-2.9758
1514,0.018079,-0.018078,6.7799
1515,0.018104,-0.018103,11.536
1516,0.018056,-0.018053,13.74
1517,0.018053,-0.018049,15.34
1518,0.018107,-0.018101,17.781
1519,0.018107,-0.0181,18.521
152,0.61653,-0.018176,79.909
1520,0.018097,-0.018089,19.051
1521,0.018063,-0.018054,19.438
1522,0.018082,-0.018073,18.075
1523,0.0181,-0.018091,19.107
1524,0.018101,-0.018093,19.412
1525,0.01811,-0.018103,18.669
1526,0.018154,-0.018148,17.428
1527,0.018066,-0.018061,15.838
1528,0.018057,-0.018054,14.485
1529,0.018081,-0.01808,11.683
153,0.61652,-0.018074,79.671
1530,0.018079,-0.018078,6.7729
1531,0.018037,-0.018037,-1.0196
1532,0.018055,-0.018054,-2.4735
1533,0.018073,-0.018072,8.0494
1534,0.018039,-0.018037,12.187
1535,0.018054,-0.018051,14.573
1536,0.018064,-0.018059,16.851
1537,0.018073,-0.018067,17.445
1538,0.018065,-0.018057,19.055
1539,0.018114,-0.018105,19.565
154,0.61655,-0.018099,80.093
1540,0.018069,-0.018059,19.787
1541,0.018103,-0.018092,20.085
1542,0.018109,-0.018099,19.51
1543,0.018096,-0.018086,20.936
1544,0.018024,-0.018015,20.107
1545,0.018036,-0.018029,19.103
1546,0.018032,-0.018027,17.934
1547,0.018082,-0.018078,16.078
1548,0.01805,-0.018047,14.502
1549,0.018055,-0.018054,10.83
155,0.61667,-0.018084,79.625
1550,0.018057,-0.018057,6.5622
1551,0.018026,-0.018026,-4.4111
1552,0.018081,-0.018081,1.4297
1553,0.018009,-0.018008,8.5174
1554,0.018106,-0.018105,11.476
1555,0.018091,-0.018088,15.009
1556,0.018038,-0.018033,16.232
1557,0.018013,-0.018007,16.894
1558,0.01806,-0.018052,18.007
1559,0.018105,-0.018097,19.594
156,0.61688,-0.018225,80.144
1560,0.01813,-0.018121,19.425
1561,0.018085,-0.018076,19.395
1562,0.018078,-0.01807,19.289
1563,0.018048,-0.01804,18.98
1564,0.018105,-0.018098,18.533
1565,0.018101,-0.018096,16.828
1566,0.018074,-0.01807,16.12
1567,0.018069,-0.018066,13.691
1568,0.018025,-0.018024,9.7072
1569,0.018044,-0.018044,4.6892
157,0.61707,-0.017915,79.527
1570,0.018094,-0.018094,-4.2697
1571,0.018114,-0.018114,2.6635
1572,0.018101,-0.0181,9.7313
1573,0.018097,-0.018095,13.428
1574,0.018135,-0.018131,14.819
1575,0.018091,-0.018086,15.884
1576,0.018092,-0.018085,18.064
1577,0.018097,-0.018089,19.192
1578,0.018073,-0.018064,19.304
1579,0.0181,-0.01809,19.523
158,0.61738,-0.018024,79.305
1580,0.018077,-0.018068,19.792
1581,0.018076,-0.018066,19.92
1582,0.018092,-0.018084,19.131
1583,0.018035,-0.018028,18.558
1584,0.018046,-0.01804,16.971
1585,0.018053,-0.018049,16.454
1586,0.018037,-0.018035,14.433
1587,0.018094,-0.018092,10.92
1588,0.018047,-0.018047,6.8597
1589,0.018057,-0.018057,-5.2883
159,0.61764,-0.017974,79.983
1590,0.018041,-0.018041,0.20839
1591,0.018044,-0.018043,8.5476
1592,0.018031,-0.018029,12.772
1593,0.01803,-0.018027,14.939
1594,0.018067,-0.018062,17.166
1595,0.018044,-0.018037,18.201
1596,0.018048,-0.01804,19.023
1597,0.018077,-0.018068,19.931
1598,0.018112,-0.018102,22.042
1599,0.018089,-0.018078,22.469
16,0.61146,-0.017697,77.05
160,0.61794,-0.01802,80.173
1600,0.01806,-0.018049,22.617
1601,0.018107,-0.018096,20.332
1602,0.018047,-0.018039,18.645
1603,0.018137,-0.01813,19.05
1604,0.018057,-0.018051,16.294
1605,0.018058,-0.018054,15.301
1606,0.018092,-0.018089,14.549
1607,0.01805,-0.018049,11.047
1608,0.018072,-0.018071,4.3046
1609,0.018055,-0.018055,-3.2146
161,0.61822,-0.017913,79.335
1610,0.018044,-0.018044,3.8737
1611,0.018112,-0.018111,8.8138
1612,0.018079,-0.018077,13.008
1613,0.018128,-0.018124,15.984
1614,0.018125,-0.01812,17.232
1615,0.018111,-0.018104,18.897
1616,0.018106,-0.018098,18.989
1617,0.018115,-0.018106,19.467
1618,0.018121,-0.018111,18.279
1619,0.018125,-0.018116,19.654
162,0.61846,-0.01798,80.012
1620,0.018108,-0.018099,18.559
1621,0.018121,-0.018113,18.849
1622,0.018107,-0.018101,17.342
1623,0.018154,-0.018148,17.658
1624,0.018106,-0.018102,15.537
1625,0.018117,-0.018115,14.145
1626,0.018097,-0.018096,10.654
1627,0.018069,-0.018068,4.7514
1628,0.018088,-0.018088,-2.605
1629,0.018055,-0.018055,0.68221
163,0.61864,-0.018035,79.844
1630,0.018046,-0.018045,9.1078
1631,0.018048,-0.018046,13.302
1632,0.018072,-0.018069,14.263
1633,0.018052,-0.018047,16.303
1634,0.018071,-0.018065,18.098
1635,0.018075,-0.018068,18.33
1636,0.018075,-0.018067,19.137
1637,0.018056,-0.018047,18.641
1638,0.018052,-0.018043,19.17
1639,0.018071,-0.018062,20.017
164,0.61877,-0.018001,78.838
1640,0.018094,-0.018086,18.918
1641,0.018077,-0.018071,18.034
1642,0.018046,-0.018041,16.882
1643,0.01807,-0.018067,14.613
1644,0.018075,-0.018073,13.295
1645,0.018059,-0.018057,9.9348
1646,0.01804,-0.018039,4.2988
1647,0.018028,-0.018028,-4.5566
1648,0.018046,-0.018045,2.6304
1649,0.018094,-0.018093,9.7841
165,0.61889,-0.017948,79.631
1650,0.018142,-0.01814,12.621
1651,0.018086,-0.018082,14.619
1652,0.01807,-0.018065,17.499
1653,0.018069,-0.018062,17.857
1654,0.018073,-0.018065,18.976
1655,0.018052,-0.018043,18.887
1656,0.018082,-0.018072,20.237
1657,0.018078,-0.018068,19.117
1658,0.018072,-0.018062,19.648
1659,0.018061,-0.018052,19.545
166,0.61891,-0.018014,79.831
1660,0.018073,-0.018065,19.065
1661,0.018081,-0.018074,17.235
1662,0.018114,-0.018109,16.996
1663,0.018047,-0.018044,16.154
1664,0.018055,-0.018053,13.267
1665,0.01806,-0.018059,9.0352
1666,0.018106,-0.018106,2.2072
1667,0.018039,-0.018039,-5.2139
1668,0.018058,-0.018058,5.2088
1669,0.018048,-0.018047,10.206
167,0.61889,-0.018035,80.184
1670,0.018064,-0.018062,14.007
1671,0.018091,-0.018088,15.852
1672,0.018035,-0.01803,16.572
1673,0.018076,-0.01807,17.476
